Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Template
65429.35,0.80421,31 December 2010 18:10:29.350,734503.7573,0.80036,MCWV,M4_Mainshock_S
61550.85,0.90482,01 January 2011 17:05:50.850,734504.7124,0.78485,MCWV,M4_Mainshock_S
25002.675,0.97127,03 January 2011 06:56:42.675,734506.2894,0.80165,MCWV,M4_Mainshock_S
31395.45,0.873,03 January 2011 08:43:15.450,734506.3634,0.80165,MCWV,M4_Mainshock_S
40560.3,0.86214,03 January 2011 11:16:00.300,734506.4694,0.80165,MCWV,M4_Mainshock_S
25002.275,0.8574,03 January 2011 06:56:42.275,734506.2894,0.80165,MCWV,M4_Mainshock_S
25002.9,0.8558,03 January 2011 06:56:42.900,734506.2894,0.80165,MCWV,M4_Mainshock_S
25310.275,0.83348,03 January 2011 07:01:50.275,734506.2929,0.80165,MCWV,M4_Mainshock_S
24810.9,0.83221,03 January 2011 06:53:30.900,734506.2872,0.80165,MCWV,M4_Mainshock_S
30614.35,0.83149,03 January 2011 08:30:14.350,734506.3543,0.80165,MCWV,M4_Mainshock_S
25002.475,0.8225,03 January 2011 06:56:42.475,734506.2894,0.80165,MCWV,M4_Mainshock_S
25309.85,0.82213,03 January 2011 07:01:49.850,734506.2929,0.80165,MCWV,M4_Mainshock_S
40560.925,0.80932,03 January 2011 11:16:00.925,734506.4695,0.80165,MCWV,M4_Mainshock_S
24810.475,0.80357,03 January 2011 06:53:30.475,734506.2872,0.80165,MCWV,M4_Mainshock_S
33553.925,0.89919,04 January 2011 09:19:13.925,734507.3884,0.82168,MCWV,M4_Mainshock_S
37202.15,0.83132,04 January 2011 10:20:02.150,734507.4306,0.82168,MCWV,M4_Mainshock_S
56538.6,0.8328,05 January 2011 15:42:18.600,734508.6544,0.83244,MCWV,M4_Mainshock_S
33501.1,0.91153,06 January 2011 09:18:21.100,734509.3877,0.841,MCWV,M4_Mainshock_S
62263.45,0.88575,06 January 2011 17:17:43.450,734509.7206,0.841,MCWV,M4_Mainshock_S
75052.6,0.84638,06 January 2011 20:50:52.600,734509.8687,0.841,MCWV,M4_Mainshock_S
28153.8,0.85961,07 January 2011 07:49:13.800,734510.3259,0.83282,MCWV,M4_Mainshock_S
50307.7,0.96557,08 January 2011 13:58:27.700,734511.5823,0.82424,MCWV,M4_Mainshock_S
50308.35,0.92215,08 January 2011 13:58:28.350,734511.5823,0.82424,MCWV,M4_Mainshock_S
30011.425,0.86311,09 January 2011 08:20:11.425,734512.3474,0.79439,MCWV,M4_Mainshock_S
30011.65,0.83607,09 January 2011 08:20:11.650,734512.3474,0.79439,MCWV,M4_Mainshock_S
44477.425,0.83455,09 January 2011 12:21:17.425,734512.5148,0.79439,MCWV,M4_Mainshock_S
36225.975,0.8323,09 January 2011 10:03:45.975,734512.4193,0.79439,MCWV,M4_Mainshock_S
84108.85,0.82565,09 January 2011 23:21:48.850,734512.9735,0.79439,MCWV,M4_Mainshock_S
36226.6,0.81909,09 January 2011 10:03:46.600,734512.4193,0.79439,MCWV,M4_Mainshock_S
13659.425,0.81384,09 January 2011 03:47:39.425,734512.1581,0.79439,MCWV,M4_Mainshock_S
44477.85,0.80702,09 January 2011 12:21:17.850,734512.5148,0.79439,MCWV,M4_Mainshock_S
44477.225,0.79856,09 January 2011 12:21:17.225,734512.5148,0.79439,MCWV,M4_Mainshock_S
25229.125,0.91576,10 January 2011 07:00:29.125,734513.292,0.82414,MCWV,M4_Mainshock_S
78305.575,0.87774,10 January 2011 21:45:05.575,734513.9063,0.82414,MCWV,M4_Mainshock_S
75326.225,0.87332,10 January 2011 20:55:26.225,734513.8718,0.82414,MCWV,M4_Mainshock_S
30567.325,0.87201,10 January 2011 08:29:27.325,734513.3538,0.82414,MCWV,M4_Mainshock_S
30567.75,0.86476,10 January 2011 08:29:27.750,734513.3538,0.82414,MCWV,M4_Mainshock_S
25228.925,0.86442,10 January 2011 07:00:28.925,734513.292,0.82414,MCWV,M4_Mainshock_S
30270.275,0.85045,10 January 2011 08:24:30.275,734513.3504,0.82414,MCWV,M4_Mainshock_S
61797.5,0.8503,10 January 2011 17:09:57.500,734513.7152,0.82414,MCWV,M4_Mainshock_S
12073.325,0.84426,10 January 2011 03:21:13.325,734513.1397,0.82414,MCWV,M4_Mainshock_S
12073.125,0.83893,10 January 2011 03:21:13.125,734513.1397,0.82414,MCWV,M4_Mainshock_S
30567.95,0.82801,10 January 2011 08:29:27.950,734513.3538,0.82414,MCWV,M4_Mainshock_S
30272.775,0.82764,10 January 2011 08:24:32.775,734513.3504,0.82414,MCWV,M4_Mainshock_S
76937.075,0.9846,12 January 2011 21:22:17.075,734515.8905,0.82364,MCWV,M4_Mainshock_S
17371.5,0.91025,12 January 2011 04:49:31.500,734515.2011,0.82364,MCWV,M4_Mainshock_S
29621.45,0.88399,12 January 2011 08:13:41.450,734515.3428,0.82364,MCWV,M4_Mainshock_S
75529,0.83925,12 January 2011 20:58:49.000,734515.8742,0.82364,MCWV,M4_Mainshock_S
24417.175,0.95855,13 January 2011 06:46:57.175,734516.2826,0.82121,MCWV,M4_Mainshock_S
24416.975,0.87994,13 January 2011 06:46:56.975,734516.2826,0.82121,MCWV,M4_Mainshock_S
8762.675,0.87757,13 January 2011 02:26:02.675,734516.1014,0.82121,MCWV,M4_Mainshock_S
8762.9,0.87594,13 January 2011 02:26:02.900,734516.1014,0.82121,MCWV,M4_Mainshock_S
8762.25,0.86209,13 January 2011 02:26:02.250,734516.1014,0.82121,MCWV,M4_Mainshock_S
8762.475,0.8495,13 January 2011 02:26:02.475,734516.1014,0.82121,MCWV,M4_Mainshock_S
18693.475,0.83615,13 January 2011 05:11:33.475,734516.2164,0.82121,MCWV,M4_Mainshock_S
24417.6,0.83195,13 January 2011 06:46:57.600,734516.2826,0.82121,MCWV,M4_Mainshock_S
61462.925,0.95478,14 January 2011 17:04:22.925,734517.7114,0.82803,MCWV,M4_Mainshock_S
61463.15,0.85193,14 January 2011 17:04:23.150,734517.7114,0.82803,MCWV,M4_Mainshock_S
26644.175,0.8422,14 January 2011 07:24:04.175,734517.3084,0.82803,MCWV,M4_Mainshock_S
31096.75,0.83847,14 January 2011 08:38:16.750,734517.3599,0.82803,MCWV,M4_Mainshock_S
31096.525,0.83277,14 January 2011 08:38:16.525,734517.3599,0.82803,MCWV,M4_Mainshock_S
19750.4,0.85952,15 January 2011 05:29:10.400,734518.2286,0.81851,MCWV,M4_Mainshock_S
32886.775,0.82241,16 January 2011 09:08:06.775,734519.3806,0.80482,MCWV,M4_Mainshock_S
39925.625,0.80524,16 January 2011 11:05:25.625,734519.4621,0.80482,MCWV,M4_Mainshock_S
62749.875,0.87215,17 January 2011 17:25:49.875,734520.7263,0.81207,MCWV,M4_Mainshock_S
3728.875,0.853,17 January 2011 01:02:08.875,734520.0432,0.81207,MCWV,M4_Mainshock_S
38776.05,0.84011,17 January 2011 10:46:16.050,734520.4488,0.81207,MCWV,M4_Mainshock_S
